date,value
20220522,837.142857
20220523,814.0
20220524,806.0
20220525,802.5
20220526,813.333333
20220527,831.818182
20220528,845.0
20220529,842.222222
20220530,825.0
20220531,803.333333
20220601,806.0
20220602,802.5
20220603,790.0
20220604,812.0
20220605,808.333333
20220606,800.0
20220607,800.0
20220608,803.333333
20220609,810.0
20220610,830.0
20220611,831.0
20220612,825.0
20220613,821.666667
20220614,808.75
20220615,755.0
20220616,789.375
20220617,797.0
20220618,837.5
20220619,831.0
20220620,826.0
20220621,817.0
20220622,805.0
20220623,806.923077
20220624,813.333333
20220625,815.714286
20220626,825.454545
20220627,811.666667
20220628,816.666667
20220629,817.5
20220630,818.571429
20220701,804.285714
20220702,801.25
20220703,781.666667
20220704,795.0
20220705,785.454545
20220706,796.0
20220707,792.857143
20220708,800.0
20220709,812.222222
20220710,811.666667
20220711,805.0
20220712,817.142857
20220713,800.0
20220714,803.75
20220715,811.0
20220716,816.363636
20220717,810.0
20220718,802.0
20220719,804.285714
20220720,815.0
20220721,813.75
20220722,816.25
20220723,816.666667
20220724,812.5
20220725,806.666667
20220726,815.555556
20220727,813.333333
20220728,813.333333
20220729,817.777778
20220730,812.857143
20220731,810.0
20220801,801.6666666666666
20220802,800.0
20220803,801.428571
20220804,817.142857
20220805,817.142857
20220806,828.333333
20220807,820.0
20220808,810.0
20220809,818.75
20220810,836.486486
20220811,832.0
20220812,832.857143
20220813,827.272727
20220814,824.285714
20220815,823.636364
20220816,820.0
20220817,812.0
20220818,807.5
20220819,805.0
20220820,801.25
20220821,792.5
20220822,793.333333
20220823,786.0
20220824,798.75
20220825,737.272727
20220826,796.666667
20220827,780.0
20220828,775.0
20220829,753.333333
20220830,756.0
20220831,775.625
20220901,758.0
20220902,749.090909
20220903,758.888889
20220904,760.0
20220905,771.666667
20220906,795.0
20220907,792.5
20220908,848.75
20220909,826.0
20220910,815.0
20220911,838.0
20220912,802.857143
20220913,801.428571
20220914,775.555556
20220915,763.076923
20220916,777.777778
20220917,783.636364
20220918,780.0
20220919,733.75
20220920,762.857143
20220921,750.0
20220922,767.142857
20220923,784.444444
20220924,717.142857
20220925,754.0
20220926,750.0
20220927,798.75
20220928,810.0
20220929,792.5
20220930,788.333333
20221001,790.0
20221002,790.0
20221003,770.0
20221004,772.5
20221005,776.0
20221006,787.0
20221007,788.461538
20221008,784.0
20221009,801.111111
20221010,790.0
20221011,790.0
20221012,770.0
20221013,772.5
20221014,765.0
20221015,780.0
20221016,772.0
20221017,780.0
20221018,760.0
20221019,773.333333
20221020,792.727273
20221021,784.0
20221022,793.75
20221023,785.0
20221024,790.0
20221025,775.555556
20221026,803.846154
20221027,794.0
20221028,793.0
20221029,788.0
20221030,774.285714
20221031,775.714286
20221101,768.333333
20221102,770.0
20221103,784.285714
20221104,793.333333
20221105,791.666667
20221106,788.0
20221107,785.0
20221108,780.0
20221109,776.0
20221110,778.333333
20221111,804.0
20221112,803.75
20221113,798.181818
20221114,792.5
20221115,791.25
20221116,792.0
20221117,792.5
20221118,796.0
20221119,798.888889
20221120,792.5
20221121,790.0
20221122,791.428571
20221123,797.5
20221124,772.0
20221125,753.75
20221126,767.0
20221127,776.363636
20221128,768.0
20221129,771.666667
